username,total_stars,avg_stars_per_repo,max_repo_stars,total_forks,avg_forks_per_repo,max_repo_forks,active_repos,total_repositories_found,active_repo_ratio
Tereami,75,0.872093023255814,20,47,0.5465116279069767,5,13,86,0.1511627906976744
sieleemmanuel,17,0.29310344827586204,4,1,0.017241379310344827,1,0,58,0.0
isha-mohan,47,3.6153846153846154,27,20,1.5384615384615385,11,0,13,0.0
krlawrence,862,172.4,861,258,51.6,258,1,5,0.2
turquetti,30,1.0714285714285714,8,9,0.32142857142857145,2,0,28,0.0
mbotos,377,31.416666666666668,256,202,16.833333333333332,127,2,12,0.16666666666666666
Tangent-Wei,2749,687.25,2708,243,60.75,236,1,4,0.25
xjs1919,319,8.621621621621621,74,222,6.0,45,5,37,0.13513513513513514
AhmedRebai,58,1.183673469387755,5,12,0.24489795918367346,6,1,49,0.02040816326530612
techefx,39,3.9,6,185,18.5,68,1,10,0.1
Parisa-Bagherzadeh,239,7.46875,20,1,0.03125,1,1,32,0.03125
iBaa,1946,216.22222222222223,1905,624,69.33333333333333,607,2,9,0.2222222222222222
zui0711,259,12.95,209,101,5.05,81,4,20,0.2
madd86,12223,814.8666666666667,12197,1322,88.13333333333334,1318,6,15,0.4
splashley,15,0.25862068965517243,6,8,0.13793103448275862,3,0,58,0.0
to,265,132.5,265,53,26.5,53,2,2,1.0
furkanbingol,40,1.7391304347826086,14,2,0.08695652173913043,1,1,23,0.043478260869565216
dusnat,22,0.4230769230769231,10,22,0.4230769230769231,5,0,52,0.0
talktopri,4,0.10256410256410256,4,2,0.05128205128205128,1,1,39,0.02564102564102564
egeerardyn,1719,40.92857142857143,1637,140,3.3333333333333335,122,8,42,0.19047619047619047
Cldfire,143,4.612903225806452,78,17,0.5483870967741935,7,7,31,0.22580645161290322
NateTheGreatt,1567,38.21951219512195,1437,134,3.268292682926829,113,3,41,0.07317073170731707
liyokuna,15,1.0714285714285714,3,6,0.42857142857142855,2,0,14,0.0
hdsuperman,16,1.3333333333333333,15,3,0.25,3,0,12,0.0
jimenezraul,28,0.28,8,13,0.13,6,2,100,0.02
marlonnardi,95,1.7924528301886793,73,54,1.0188679245283019,29,3,53,0.05660377358490566
Rektoff,300,75.0,232,41,10.25,29,3,4,0.75
zhcosin,382,14.692307692307692,165,74,2.8461538461538463,29,3,26,0.11538461538461539
Mariam-Amin12,20,0.5882352941176471,4,1,0.029411764705882353,1,10,34,0.29411764705882354
0xNuru,7,0.14,2,4,0.08,1,2,50,0.04
syoung125,33,1.1,6,3,0.1,2,0,30,0.0
anilbey,29,0.3625,6,7,0.0875,1,1,80,0.0125
rplevy,810,14.210526315789474,579,49,0.8596491228070176,23,5,57,0.08771929824561403
Cydiar,11,2.2,5,0,0.0,0,2,5,0.4
tomiiide,125,2.6041666666666665,103,106,2.2083333333333335,93,1,48,0.020833333333333332
davidcornu,63,0.7777777777777778,16,15,0.18518518518518517,4,2,81,0.024691358024691357
hwangstar156,20,0.2898550724637681,12,0,0.0,0,4,69,0.057971014492753624
hexeguitar,607,11.673076923076923,211,111,2.1346153846153846,32,15,52,0.28846153846153844
libevent,12658,1808.2857142857142,11915,3717,531.0,3465,4,7,0.5714285714285714
sh8,243,3.7384615384615385,91,40,0.6153846153846154,18,5,65,0.07692307692307693
paweljw,4,0.3076923076923077,1,0,0.0,0,12,13,0.9230769230769231
zhuo1angT,12,0.48,11,5,0.2,5,1,25,0.04
justafish,99,1.596774193548387,30,85,1.3709677419354838,23,2,62,0.03225806451612903
johnpaparrizos,12,2.0,7,2,0.3333333333333333,2,2,6,0.3333333333333333
charleskorn,708,7.08,586,101,1.01,71,7,100,0.07
celikkoseoglu,124,6.2,109,22,1.1,14,1,20,0.05
Vbanety,9,0.2727272727272727,2,0,0.0,0,2,33,0.06060606060606061
Artexxx,73,4.055555555555555,11,2,0.1111111111111111,1,18,18,1.0
cenwenchu,148,13.454545454545455,134,75,6.818181818181818,60,1,11,0.09090909090909091
detekt,7892,717.4545454545455,6965,945,85.9090909090909,838,6,11,0.5454545454545454
WouterVanNifterick,478,5.370786516853933,283,168,1.8876404494382022,81,12,89,0.1348314606741573
GabiGrin,167,2.3857142857142857,51,51,0.7285714285714285,16,6,70,0.08571428571428572
FlorentBelotti,1,0.038461538461538464,1,3,0.11538461538461539,1,6,26,0.23076923076923078
nay,213,9.26086956521739,65,68,2.9565217391304346,26,3,23,0.13043478260869565
ALIREZA0J,4,1.0,1,0,0.0,0,0,4,0.0
greenlion,1301,41.96774193548387,640,336,10.838709677419354,168,4,31,0.12903225806451613
fhlemes,14,0.4827586206896552,13,4,0.13793103448275862,4,1,29,0.034482758620689655
yasinbakkal,12,0.9230769230769231,1,0,0.0,0,12,13,0.9230769230769231
ka9q,374,19.68421052631579,318,101,5.315789473684211,77,16,19,0.8421052631578947
muminoff,49,0.49,28,17,0.17,11,1,100,0.01
